Sentence	Slot
Dort konnten beispielsweise der 306 , 307 und der 206 Erfolge feiern .	O O O O O O O O O O O O O
Diese Entscheidung wurde 1987 vom Bundesverwaltungsgericht bestätigt .	O O O O O B-ORG O O
Am Freitagnachmittag beriet der Eisenacher Stadtrat über eine gepante kommunale Streichliste , gegen die es bei der LINKEN viele Widerstände gibt .	O O O O B-LOCderiv O O O O O O O O O O O O B-ORG O O O O
Der Druckkopf eines Laserdruckers besteht nicht aus Einzelpunkten , dennoch ist auch hier die kleinste Einheit durch einen Bildpunkt bestimmt .	O O O O O O O O O O O O O O O O O O O O O
"Die Fernsehzuschauer bekommen "" Kabale und Liebe "" am 3. und am 9. Oktober auf 3sat und im ZDF und ab dem 3. Dezember mehrmals im Programm des ZDF-Theaterkanals zu sehen ."	O O O O B-OTH I-OTH I-OTH O O O O O O O O B-ORG O O B-ORG O O O O O O O O O B-ORGpart O O O
1957 bestätigt und 1962 eingeführt .	O O O O O O
1970–1980 Die 1970er-Jahre brachten eine Rückbesinnung auf die Ursprünge der Batman-Figur im Crime Noir .	O O O O O O O O O O B-PERpart O O O O
Die russischen Kollegen sollen wissen , dass es um die fachliche Aufklärung geht und das gemeinsame Interesse , Kunstschätze zu erhalten und zu restaurieren .	O B-LOCderiv O O O O O O O O O O O O O O O O O O O O O O O
Der Springer , vielleicht ( nach einigen technischen Anpassungen ) auch der Helfer können entfallen .	O O O O O O O O O O O O O O O O
Das Langstreckenflugzeug liegt inzwischen zwei Jahre hinter den ursprünglichen Zielen zurück .	O O O O O O O O O O O O
Die Jungen sind vom ersten Tag an auf sich allein gestellt und lernen durch Probieren , ungeeignete von genießbarer Beute zu unterscheiden .	O O O O O O O O O O O O O O O O O O O O O O O
"Ganz anders ist die Ausgangslage für "" König Otto "" : Rehhagel kann mit seinen Hellenen fast drei Jahre nach dem EM-Triumph in Portugal einen weiteren Meilenstein setzen ."	O O O O O O O O B-PER O O B-PER O O O O O O O O O B-LOCpart O B-LOC O O O O O
Des weiteren besteht eine Flugverbindung mit La Costeña und Atlantic Airlines von Managua und Bluefields aus .	O O O O O O B-ORG I-ORG O B-ORG I-ORG O B-LOC O B-LOC O O
""" Ich sehe mich eher in der zweiten Reihe "" , sagte der Landesvorsitzende ."	O O O O O O O O O O O O O O O
Aber wussten Sie , welche wundersamen Wanderarten es überhaupt gibt ?	O O O O O O O O O O O
;glatt : Bezeichnung für einen geschmacklich zwar fehlerfreien , aber mit wenig individuellen Geschmacksnoten ausgestatteten Wein .	O O O O O O O O O O O O O O O O O
Das Buch wurde bebildert von Charly Greifoner und die Texte verfasst von Cilly Schmitt-Teichmann und erschien im Kölner Schwager & Steinlein Verlag .	O O O O O B-PER I-PER O O O O O B-PER I-PER O O O B-LOCderiv B-ORG I-ORG I-ORG I-ORG O
Ab dem Viertelfinale wurden die Runden in Hin- und Rückspiel ausgetragen .	O O O O O O O O O O O O
"Der Rat : "" Da kann es mehrere Gründe geben ."	O O O O O O O O O O O
Biographie Vassula Rydén wurde als Tochter griechisch-orthodoxer Eltern in Ägypten geboren .	O B-PER I-PER O O O B-LOCpart O O B-LOC O O
"Horabach Horabach ist einer der 5 Ortsteile und gehört zu den drei "" Weilern "" , was im fränkischen ein sehr kleines Dorf bezeichnet ."	B-LOC B-LOC O O O O O O O O O O O O O O O O B-OTHderiv O O O O O O
1855 gründete Joseph Meyer die „ Meyers Geschichtsbibliothek für allgemeine Kunde des Kultur- und Völkerlebens “ .	O O B-PER I-PER O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O
Die Gruppe B Der 5. Spieltag Aber auch Lyon spielte munter nach vorne .	O O O O O O O O B-LOC O O O O O
Daneben verfügt Freistadt noch über zwei Drei-Sterne-Pensionen , einige Vermieter von Privatzimmern , eine Jugendherberge sowie einen Campingplatz mit 40 Stellplätzen .	O O B-LOC O O O O O O O O O O O O O O O O O O O
Betrunken kurvte am Sonntag gegen 14 Uhr ein 49 Jahre alter Norderstedter mit seinem Motorroller in Schlangenlinien über die Ulzburger Straße .	O O O O O O O O O O O B-LOCderiv O O O O O O O B-LOC I-LOC O
Also zog ich mir ein paar Kochsachen an und arbeitete vier Abende mit ihm zusammen .	O O O O O O O O O O O O O O O O
Das HPI ist dort jeweils als Aussteller vertreten .	O B-ORG O O O O O O O
Bisher tragen drei Bioprodukte das Label , die Idee scheint ins Rollen zu kommen .	O O O O O O O O O O O O O O O
Nördlich vom See befindet sich das Wasserkraftwerk Somplago , welches das Seebecken als Wasserspeicher benutzt .	O O O O O O O B-LOC O O O O O O O O
Dieser Schritt leitete in der Chirurgie und dem Krankenhauswesen eine neue Zeit ein .	O O O O O O O O O O O O O O
Mit ihrer planmäßigen , kunstvoll angelegten Handlungsführung und ihrer gepflegten Konversationssprache fanden die Komödien besonders bei den gebildeten Schichten schnell Anklang .	O O O O O O O O O O O O O O O O O O O O O O
Die Spanier nannten die Insel Gran Bajamar , was „ große Untiefe “ bedeutet .	O B-LOCderiv O O O B-LOC I-LOC O O O O O O O O
1974 nannte sie sich Etchingham Steam Band , 1975 folgte die Albion Dance Band und 1978 verkürzte sich der Name schließlich zu Albion Band , die noch mit wechselnden Besetzungen bis heute besteht .	O O O O B-ORG I-ORG I-ORG O O O O B-ORG I-ORG I-ORG O O O O O O O O B-ORG I-ORG O O O O O O O O O O
Aufgrund der außergewöhnlichen Objektdaten und der einzigartigen Vermarktungsstrategie ist davon auszugehen , dass das Immobilienprojekt noch vor Baubeginn abverkauft sein dürfte .	O O O O O O O O O O O O O O O O O O O O O O
Von 1715 bis zu seinem Tod diente er ununterbrochen in der Regierung .	O O O O O O O O O O O O O
Es lag - ganz analog dem Circus Maximus in Rom - in unmittelbarer Nähe der kaiserlichen Paläste .	O O O O O O B-LOC I-LOC O B-LOC O O O O O O O O
WUNSIEDEL - Es klang wie ein richtiges Schnäppchen : Für 451 Euro kaufte ein Weißenstädter 100 Paketmarken über das Internetauktionshaus Ebay .	B-LOC O O O O O O O O O O O O O B-LOCderiv O O O O O B-ORG O
Aber das muss in dieser Branche manchmal kein Nachteil sein .	O O O O O O O O O O O
Die französische Genossenschaft stellt an ihre Mitglieder auch unter Aspekten des Tierschutzes besonders hohe Ansprüche an die Haltungsbedingungen , beispielsweise besonders große Gehege .	O B-LOCderiv O O O O O O O O O O O O O O O O O O O O O O
Die jüdische Gemeinde hat derzeit etwa 400 Mitglieder .	O O O O O O O O O
Die meisten dieser Erfindungen hat er später in seiner Gewerbewerkstatt auch selbst produziert und verkauft .	O O O O O O O O O O O O O O O O
Darstellung , Einordnung und Analyse Peter Hackman : SQUFOF Vereinfachung Pate Williams : Shanks's SQUFOF Beispielimplementation ) , die er allerdings nie veröffentlichte .	O O O O O B-PER I-PER O O O B-PER I-PER O B-PER O O O O O O O O O O
Alle Bischöfe in Deutschland haben dies getan .	O O O B-LOC O O O O
Weil sich Lawless beim Sport das Handgelenk bricht ( im Video zu „ Black Forever “ trägt er deshalb eine schwarze Gipsschiene ) , gibt es keine Tour zu diesem Album .	O O B-PER O O O O O O O O O O B-OTH I-OTH O O O O O O O O O O O O O O O O O
Einzig die Sorte 'Königin Charlotte ' ist bis heute weit verbreitet .	O O O O B-PER O O O O O O O
"Der "" Spezialkurator "" Hickel wurde erneut auf die Reise geschickt , die aber keine Bestätigung und keinen Hinweis auf eine ungarische Herkunft Hausers erbrachte ."	O O O O B-PER O O O O O O O O O O O O O O O O B-LOCderiv O B-PER O O
""" Bei Paul wusste ich , dass es nicht leicht wird ."	O O B-PER O O O O O O O O O
Doch stieß er auf starken Widerstand seitens der Schwedischen Kirche und war 1842 gezwungen , Schweden zu verlassen .	O O O O O O O O B-ORG I-ORG O O O O O B-LOC O O O
An den Schlüssel komme nur heran , wer ein Captcha löst , eine in eine Grafik eingebettete Zahlenkombination .	O O O O O O O O O O O O O O O O O O O
Im Dezember 1953 begannen in Wiederau die Kurzwellensendungen .	O O O O O B-LOC O O O
Trotzdem kommen auch Menschen aus der weiteren Umgebung , aus Frankfurt , Alzey oder Worms .	O O O O O O O O O O B-LOC O B-LOC O B-LOC O
Dabei sollen Tonwiederholungen des Grundakkordes durch den Upperstructure-Akkord vermieden werden und sind als oberer Abschluss zulässig , vor allem wenn sie dann Dissonanzen bilden .	O O O O O O O O O O O O O O O O O O O O O O O O O
Am 19. September 2009 verlor er durch Aufgabe ( TKO ) gegen Francesco Pianeta wegen einer Handverletzung in der Pause zur 10. Runde .	O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O
Wie HVB und UniCredit am Dienstag in Wien mitteilten , erhält die BA-CA die Funktion einer Sub-Holding für das Osteuropageschäft .	O B-ORG O B-ORG O O O B-LOC O O O O B-ORG O O O O O O B-LOCpart O
"Als sie vor über einem Jahr die Aufgabe übernahm , ein Generationentreffen zu organisieren , stand sie zunächst vor einem Rätsel : "" Wie komme ich an Namen und Adressen der ehemaligen Heimenkircher ? """	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOCderiv O O
Die Silikanten AI , künstliche Intelligenzen oder Silikanten sind von Menschen gebaute Maschinen .	O O O O O O O O O O O O O O
Auf ihrer Sitzung im Dezember 2005 in Berlin hatte die Ständige Kommission Organtransplantation die Ablehnung bestätigt .	O O O O O O O B-LOC O O O O O O O O O
Die Hardwareausführung gilt als sicherer , da sie das System bereits vor dem Laden des Betriebssystems schützt und ebenfalls das Bios schützen kann .	O O O O O O O O O O O O O O O O O O O O O O O O
Der Erfolg vor Gericht brachte Danelli und Cornish jedoch nicht das Geringste , da es zu keiner Platten-Veröffentlichung der New Rascals kam .	O O O O O B-PER O B-PER O O O O O O O O O O O B-ORG I-ORG O O
1860 München II schlägt Siegen überraschend 2:1 Jose Holebas ( 16. ) und Sven Bender ( 35. ) trafen vor 6127 Zuschauern für die Münchner , die jetzt den neunten Platz belegen .	B-ORG I-ORG I-ORG O B-LOC O O B-PER I-PER O O O O B-PER I-PER O O O O O O O O O B-LOCderiv O O O O O O O O
Dagegen ergeben sich bei der ( 2,3 )-Instanz : für die optimalen Zielfunktionswerte und für die stetige Relaxation ( 5 ) , was zur Vermutung : führt .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Düsseldorf ( dpa ) Der Fall Pechstein wirft auch einen Schatten auf die 5. Mitgliederversammlung des Deutschen Olympischen Sportbundes ( DOSB ) am 5. November in Düsseldorf .	B-LOC O B-ORG O O O B-PER O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O B-LOC O
Inzwischen hat sie das Training der neu gegründeten Mädchen-Fußballmannschaft übernommen .	O O O O O O O O O O O
Aufgrund der Berichterstattung kündigte er rechtliche Schritte gegen das Blatt an und bestritt , dass die Zitate dem Brief an ihn beigelegt waren .	O O O O O O O O O O O O O O O O O O O O O O O O
Als im Jahre 1996 Gerüchte über Übernahmeabsichten durch die südafrikanische Anglo American Corporation auftauchten , erwarb Ashanti Goldfields die britische Cluff Ressources , die International Gold Ressources of Toronto und die GLAMCO.	O O O O O O O O O B-LOCderiv B-ORG I-ORG I-ORG O O O B-ORG I-ORG O B-LOCderiv B-ORG I-ORG O O B-ORG I-ORG I-ORG I-ORG I-ORG O O B-ORG
Grundprinzipien Grundlage der Erd-Charta bilden die Achtung vor Natur , Verantwortung für die Umwelt , soziale und wirtschaftliche Gerechtigkeit und eine weltweite Kultur des Friedens .	O O O B-OTH O O O O O O O O O O O O O O O O O O O O O O
Im Großraum Berlin sind die Hälfte unserer Firmenkunden Selbständige , beispielsweise Ärzte , Architekten oder Rechtsanwälte .	O O B-LOC O O O O O O O O O O O O O O
Währenddessen treffen sich Gaston und Lefou mit dem Leiter des Irrenhauses , Mounsier d’Arque .	O O O B-PER O B-PER O O O O O O O B-PER O
""" Nein "" , sagt Nuss ."	O O O O O B-PER O
Die Bundesländer streben in der Frage des Nichtraucherschutzes auseinander .	O O O O O O O O O O
Bis dahin hat die Ballett-Tänzerin und Choreographin noch einiges zu tun .	O O O O O O O O O O O O
Dass in Riedlingen Betreuung nötig ist , zeigte Wolfgang Kurz vom Polizeirevier Riedlingen auf .	O O B-LOC O O O O O B-PER I-PER O O B-LOC O O
Bis Ende 2008 soll die Belegschaft dort auf 1800 steigen .	O O O O O O O O O O O
Leben Elizabeth Hartman , „ Biff “ genannt , wurde 1943 als mittleres von drei Kindern von B.C . und Claire Mullaly Hartman geboren .	O B-PER I-PER O O B-PER O O O O O O O O O O O B-PER O O B-PER I-PER I-PER O O
Die Ursache dafür ist zum Teil in einen Briefwechsel zwischen Schiller und Goethe im Jahre 1802 zurückzuführen .	O O O O O O O O O O B-PER O B-PER O O O O O
New York - Fast zwei Jahre nach dem Ausbruch der weltweiten Finanzkrise sind die Erschütterungen im US-Bankensektor immer noch deutlich zu spüren .	B-LOC I-LOC O O O O O O O O O O O O O O B-LOCpart O O O O O O
Und zwar üblicherweise mehrfach .	O O O O O
Der Pharmakonzern Sanofi-Aventis hat das Schlankheits-Mittel Acomplia europaweit vom Markt genommen , weil für Patienten die Gefahr von Depressionen bestehe .	O O B-ORG O O O B-OTH B-LOCpart O O O O O O O O O O O O O
Die Heilquellen wurden einst durch einen der durchziehenden Voortrekker entdeckt , der seine verletzte Hand in dem 45 Grad heißen , jodhaltigen Wasser badete und schon nach wenigen Tagen geheilt weiterziehen konnte .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Zur Zeit der Markteinführung 1994 wurde die Citation Ultra als bester Businessjet bezeichnet .	O O O O O O O B-OTH I-OTH O O O O O
In den letzten 7 Tagen schon 112 mal gelesen - zuletzt am 23.12.2006 um 13:33 .	O O O O O O O O O O O O O O O O
Es leitet die Daten an Geo E-Mail weiter , wo sie in eine Blog-artige Website eingebaut werden .	O O O O O O O O O O O O O O O O O O
In Baumberg stehen die Gemeinschaftsgrundschulen Alexander-von-Humboldt -Grundschule und Geschwister-Scholl -Schule sowie die katholische Winrich-von-Kniprode -Grundschule ( Baumberg ) .	O B-LOC O O O B-ORG I-ORG O B-ORG I-ORG O O O B-ORG I-ORG O B-LOC O O
Das schafft Arbeitsplätze , amortisiert sich und die Umwelt hat mehr davon , als wenn ich morgens mit dem Fahrrad zur Arbeit fahre , sagte er im Gespräch mit der Bild-Zeitung .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O
Als die 18-Jährige anfuhr , kam ein 61-jähriger Mercedes-Fahrer aus Berg im Gau auf der Neuburger Straße von links .	O O O O O O O O B-ORGpart O B-LOC I-LOC I-LOC O O B-LOC I-LOC O O O
Ein Gesetzentwurf der CDU-Fraktion sieht die Erhebung von 500 Euro pro Semester ab 2007 vor .	O O O B-ORGpart O O O O O B-OTH O O O O O O
Wer hier lebt , für den ist jeder Tag eine Herausforderung .	O O O O O O O O O O O O
« Die Braut ist entzückend » , urteilte sie .	O O O O O O O O O O
Ich muss zugeben , ich war überrascht , als ich meine 5.829er Zeit auf der Anzeige sah .	O O O O O O O O O O O O O O O O O O
Er setzte sich energisch für religiöse Toleranz und Gleichstellung der Konfessionen ein .	O O O O O O O O O O O O O
Schule/Bildung Bereits um 1600 war ein Lehrer in Niedermohr-Schrollbach tätig .	O O O O O O O O B-LOC O O
Dies ist ein wichtiger Punkt bei der Haftung des Reisevermittlers gegenüber dem Kunden in Bezug auf Versprechen , die er macht , jedoch vom Reiseveranstalter zu vertreten sind .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Geschichte Seit den 1930er Jahren kamen zunehmend mehr Modelle in den Handel , vor allem aus gewachster bzw. gummierter Baumwolle ( bspw.	O O O O O O O O O O O O O O O O O O O O O O
DPA Familie in Deutschland : Vergebliche Suche nach einem politischen Helden Deutschlands Mittelschicht plagt Zukunftspanik .	B-ORG O O B-LOC O O O O O O O B-LOC O O O O
Das ist doch das Problem , dass die sogenannten Spitzenclubs mit Geld nicht umgehen können .	O O O O O O O O O O O O O O O O
""" Dabei war er erst 14 Jahre alt ."	O O O O O O O O O
NEU DELHI - Kein fließendes Wasser im Athletendorf , dazu weitere Absagen von Sportlern : © dpa Eine Woche vor dem Start der Commonwealth Games in Neu Delhi werden die indischen Organisatoren erneut mit Problemen und Beschwerden konfrontiert .	B-LOC I-LOC O O O O O O O O O O O O O O B-ORG O O O O O O B-ORG I-ORG O B-LOC I-LOC O O B-LOCderiv O O O O O O O O
Ihre Einträge sind die Auszahlungen ( Gewinne ) an die Spieler .	O O O O O O O O O O O O
Bertha von Suttner bildet einen der Schwerpunkte der Auslandskulturarbeit 2005 / 2006.	B-PER I-PER I-PER O O O O O O O O O
In der rechten oberen Ecke ist Flers Logo zu sehen .	O O O O O O B-PER O O O O
"2002 wurden erneut Schülerzeitungen angesprochen und ein Preis für die Erstellung von Aufsätzen zum Thema "" Israel und das Völkerrecht "" ausgelobt ."	O O O O O O O O O O O O O O O O B-LOC O O O O O O
Der RWS hätte nach einem Sieg noch den dritten Platz belegen können , aber über ein 3:3 kam der Titelverteidiger nicht hinaus .	O B-ORG O O O O O O O O O O O O O O O O O O O O O
Tourieren Das schichtweise Einarbeiten des Fettes in den Teig wird Tourieren genannt .	O O O O O O O O O O O O O
Ihr erstes Album , „ El Canto del Loco “ erscheint im Jahre 2000 . Es verkauft sich rund 80.000 Mal .	O O O O O B-OTH I-OTH I-OTH I-OTH O O O O O O O O O O O O O
Wegen des in Riadh relativ brüchigen Kalkgesteins im Untergrund hatte man zunächst große Bedenken , einen so schweren Bau zu errichten .	O O O B-LOC O O O O O O O O O O O O O O O O O O
Daher ist es Rolands Aufgabe , einen Teil des Schwertes am Fuße des legendären Mittelpunkts der Balken – des dunklen Turmes – niederzulegen .	O O O B-PER O O O O O O O O O O O O O O O O O O O O
In der Nähe der Ortschaft Strymoniko passiert die Nationalstraße 12 ( Europastraße 79 ) den Strymonas auf einer Brücke ; zukünftig wird nach vollzogenem Ausbau die Autobahn 12 den Strymonas an dieser Stelle überbrücken .	O O O O O B-LOC O O B-LOC I-LOC O B-LOC I-LOC O O B-LOC O O O O O O O O O O B-LOC I-LOC O B-LOC O O O O O
Bei wichtigen Sitzungen fehlte er und gab sich noch öfter schwer gelangweilt als zuvor .	O O O O O O O O O O O O O O O
Die Bahn muss nicht K21 bauen !	O O O O O O O
Geld soll auch für eine Imagekampagne fließen .	O O O O O O O O
Der besonders verletzliche Punkt ist die 54 Kilometer breite Straße von Hormuz .	O O O O O O O O O O O B-LOC O
Etwas mehr Selbstbewusstsein hat der Psyche schließlich noch nie geschadet .	O O O O O O O O O O O
Die 20-jährige Sängerin habe eigener Aussage zufolge immer Probleme gehabt , sich in der Schule anzupassen .	O O O O O O O O O O O O O O O O O
Nach nur fünf Spielen mit Al-Nasr hatte Madschid somit den Sprung in das Nationalkader geschafft .	O O O O O B-ORG O B-PER O O O O O O O O
"Das gleiche gilt für den Buchstaben "" w "" im englischen Wort "" new "" ."	O O O O O O O O O O B-OTHderiv O O O O O
Traurig natürlich , was sich im politischen Bereich abspielt , da gebe ich recht .	O O O O O O O O O O O O O O O
Große Flächen wurden jedoch für Ackerbau und Grasland gefällt , besonders an feuchten Standorten über Lehmböden .	O O O O O O O O O O O O O O O O O
""" Die Frau stand unter Alkoholeinfluss "" , so Polizeisprecherin Sabine Zurlo ."	O O O O O O O O O O B-PER I-PER O
Übersicht kostenfreie Downloads - Online-Umfrage Als Ergänzung zur internationalen Erhebung des Religionsmonitors bietet die Bertelsmann Stiftung eine Online-Umfrage in deutscher , englischer , spanischer und türkischer Sprache an .	O O O O O O O O O O O O O O B-ORG I-ORG O O O B-OTHderiv O B-OTHderiv O B-OTHderiv O B-OTHderiv O O O
Appelle , den sicheren Bürgersteig auf der Brücke zu benutzen , fruchten offenbar nicht .	O O O O O O O O O O O O O O O
Die meisten davon stammen aus den zwanziger Jahren des vergangenen Jahrhunderts , als der Reutlinger Garnfabrikant Alfred Schradin den vormaligen Bauernhof zum Privatgestüt für die Militärpferdezucht erweitern ließ .	O O O O O O O O O O O O O O B-LOCderiv O B-PER I-PER O O O O O O O O O O O
Seine wirkliche Spielstärke ist daher schwer einzuschätzen .	O O O O O O O O
"Als ersten Schritt zur Neuaufstellung der Partei hat TSG die Auflösung der Fraktionsuntergruppen "" Aufwärts "" ( Rechte ) und "" Vorwärts "" ( Linke ) gefordert ."	O O O O O O O O B-ORG O O O O O B-ORG O O O O O O B-ORG O O O O O O
""" Wir kommen bei den notwendigen Einsparungen um die Personal- und Verwaltungskosten des Bundes nicht herum . """	O O O O O O O O O O O O O O O O O O
Anschließend dividiert man durch die eingewogene Menge des zu bestimmenden Stoffes .	O O O O O O O O O O O O
Auf 15 Stockwerken sind nach Angaben von Widmer 242 Zimmer und Suiten geplant .	O O O O O O O B-PER O O O O O O
Einen Monat nach ihrer Einsetzung ist die mühsam zustande gekommene Minderheitsregierung in Tschechien schon gescheitert .	O O O O O O O O O O O O B-LOC O O O
Die Software kann durch Kombination von ODBC / ADO sowie natürlichen Datenbanktreibern virtuell auf alle Daten zugreifen .	O O O O O O O O O O O O O O O O O O
Doch auch in der Folge war Mannheim einem vierten Treffer näher , als der ERC dem ersten : Corbet , Shantz , Sloan und Fata vergaben gute Chancen .	O O O O O O B-LOC O O O O O O O B-ORG O O O B-PER O B-PER O B-PER O B-PER O O O O
Risiko Schröders Vorstoß , auch noch Geringverdienern das Elterngeld zusammenzustreichen , stieß auf harsche Kritik in den eigenen Reihen .	O B-PER O O O O O O O O O O O O O O O O O O
Wie finden Verbraucher einen günstigen Anbieter ?	O O O O O O O
Habe Schmerz gelitten und verstanden aber nie wirklich an mehr geglaubt und doch die ganze Zeit gehofft .	O O O O O O O O O O O O O O O O O O
Brand : Es war ja die Spielweise , besser gesagt die Art unseres Zusammenspiels , was bei der EM nicht funktioniert hat .	B-PER O O O O O O O O O O O O O O O O O O O O O O
Man merkt , dass sämtliche Schauspieler viel Spaß beim Dreh hatten und sich 100 %ig mit dem Film identifizieren konnten .	O O O O O O O O O O O O O O O O O O O O O
Der S & P büßte 0,92 Prozent ein , der Nasdaq 1,2 Prozent .	O B-OTH I-OTH I-OTH O O O O O O B-OTH O O O
In einer Ansprache im Hisbollah-Fernsehsender Al-Manar warf Nasrallah der israelischen Armee vor , sie habe die Zivilisten in dem südlibanesischen Dorf Kana am verganbenen Sonntag absichtlich getötet .	O O O O B-ORGpart B-ORG O B-PER O B-LOCderiv O O O O O O O O O B-LOCderiv O B-LOC O O O O O O
Nach Meinung vieler Beobachter geht die Regierung dabei mit „ Tricks und Druck “ ( Frankfurter Allgemeine Zeitung ) vor .	O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O
Das Pauschenpferd Das Pauschenpferd ist ein 1,05 m hohes Stützgerät mit zwei Griffen ( Pauschen ) .	O O O O O O O O O O O O O O O O O
Ältere Serienfans kennen Milano noch aus ihrer Kinderrolle in „ Wer ist hier der Boss “ , ihre letzte große Rolle war natürlich die der Phoebe Halliwell in „ Charmed “ .	O O O B-PER O O O O O O B-OTH I-OTH I-OTH I-OTH I-OTH O O O O O O O O O O B-PER I-PER O O B-OTH O O
Zusätzlich geriet der Wagen auf der schlechten Strecke derart ins Schwanken , dass der Sarg herabfiel und aufsprang .	O O O O O O O O O O O O O O O O O O O
Das G8 stand von Anfang an unter permanenter Kritik , vor allem von den Eltern .	O O O O O O O O O O O O O O O O
"Wieder eine typische "" Sturm im Wasserglas "" Initiative ."	O O O O O O O O O O
Der Knotenpunktsatz ( Knotenregel ) – 1. kirchhoffsches Gesetz In einem Knotenpunkt eines elektrischen Netzwerkes ist die Summe der zufließenden Ströme gleich der Summe der abfließenden Ströme .	O O O O O O O B-PERderiv O O O O O O O O O O O O O O O O O O O O
Dem Kläger ist bereits Prozesskostenhilfe bewilligt worden .	O O O O O O O O
Das Heim habe er sich ins Haus geholt .	O O O O O O O O O
Eigentlich fühle ich mich nach im Zimmer tanzen bis der Nachbar die Polizei ruft .	O O O O O O O O O O O O O O O
Eine Version allein mit Heckantrieb soll es bis auf weiteres nicht geben .	O O O O O O O O O O O O O
Mit Billy veröffentlichten Testament das Album The Legacy .	O B-PER O B-ORG O O B-OTH I-OTH O
Und natürlich will fast jeder Fotograf das gleiche Bild : Die junge Schriftstellerin umrahmt von wolligen Vierbeinern .	O O O O O O O O O O O O O O O O O O
Die Folge könnte der Mühe gleichen , sich aus einem Schneesturm im Januar auszugraben , wobei dieser allerdings die ganze industrialisierte Welt trifft und manchen Orten stärker ist als an anderen .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Der Aufstieg erfolgt über einen schmalen Fußweg , dem Kreuzweg durch die Weinberge , aus dem Mühlbachtal .	O O O O O O O O O O O O O O O O B-LOC O
M. wird beim Flughafen auf dem Plateau nördlich von Meythet die höchste Erhebung der Gemeinde erreicht .	O O O O O O O O O B-LOC O O O O O O O
Neben der Familie zu „ Gilsa “ gab es noch eine gleichnamige zu „ Ropperhausen “ , die jedoch ein gänzlich anderes Wappen führte und ebenfalls Mitglied in der althessischen Ritterschaft war .	O O O O O B-LOC O O O O O O O O B-LOC O O O O O O O O O O O O O O B-LOCderiv O O O
Seit August 2006 ist die Ortsdurchfahrt durch Goldenstedt für den Schwerlastverkehr gesperrt .	O O O O O O O B-LOC O O O O O
Diesem Opfer , wie so vielen anderen , wurde keine angemessene Anästhesie oder medizinische Versorgung gegeben ; sein Körper ist nichts als eine Ansammlung von ertragreichen Teilen .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Eine Zulassung dieser Medikamente für die RLS-Behandlung stand kurz bevor , doch setzte der Hersteller aufgrund problematischer Materialeigenschaften den Neueinsatz der Pflaster zur Zeit aus ( Stand : Herbst 2008 ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Ich wusste , dass die Stadt einen schlechten Haushalt verabschieden muss .	O O O O O O O O O O O O
Es gibt aber auch die Protestanten die ihre Kirche rechts der Ems haben , diese Kirche führt eine Partnerschaft mit der evangelischen Gemeinde in Reckenfeld .	O O O O O O O O O O O B-LOC O O O O O O O O O O O O B-LOC O
Dennoch wurde Rumpelt 1953 zum Oberstleutnant befördert und 1956 zum Büro der Leitung des MfS versetzt .	O O B-PER O O O O O O O O O O O B-ORG O O
Die Agentur Simons & Schreiber setzte die Sprüche in originelle Plakate um .	O O B-ORG I-ORG I-ORG O O O O O O O O
"Deshalb : Ja , wir erleben eine Islamisierungswelle der Muslime in Deutschland , aber nein : die vermeintlichen Lösungsansätze von "" Pro Köln "" sind denkbar falsch und gefährlich ."	O O O O O O O O O O O B-LOC O O O O O O O O O B-OTH I-OTH O O O O O O O
Er studierte dort Philosophie und Theologie und wurde 1778 Lehrer für Philosophie im Barnabitenkollegium .	O O O O O O O O O O O O O O O
Zudem lähmt sich die türkische Regierung durch interne Streitigkeiten selbst : Sie konnte sich bisher nicht darauf einigen , wer für die Beitrittsverhandlungen mit der EU zuständig sein soll .	O O O O B-LOCderiv O O O O O O O O O O O O O O O O O O O O B-ORG O O O O
Mehrere illuminierte glagolitische Handschriften aus dem 14. und 15. Jahrhundert aus Beram sind in der Slowenischen National- und Universitätsbibliothek ausgestellt .	O O O O O O O O O O O B-LOC O O O B-ORG I-ORG I-ORG I-ORG O O
An Paul Nolte läßt sich erkennen , daß es da derzeit Definitionsprobleme gibt .	O B-PER I-PER O O O O O O O O O O O
Eine Reise nach Schlesien ( US , 2002 ) *Sachsen in Bayern .	B-OTH I-OTH I-OTH I-OTH O B-LOC O O O B-LOC O B-LOC O
Wie viel Geld genau man brauche , werde sich erst in den kommenden Monaten zeigen , sagt Sauerhammer .	O O O O O O O O O O O O O O O O O B-PER O
